,album_id,artist_id
0,38kpkGLuPr1nNfD3iEyOlJ,7jVv8c5Fj3E9VhNjxT4snq
1,0S0KGZnfBGSIssfF54WSJh,6qqNVTkY8uBg9cP3Jd7DAH
2,63nQw5QNKBUAh4bvqSz3rJ,7jVv8c5Fj3E9VhNjxT4snq
3,35s58BRTGAEWztPo9WqCIs,0LyfQWJT6nXafLPZqxe9Of
4,3XzSOIE6zGLliuqsVGLmUc,6l3HvQ5sa6mXTsMTB19rO5
5,3r5hf3Cj3EMh1C2saQ8jyt,31W5EY0aAly4Qieq6OFu6I
6,6KT8x5oqZJl9CcnM66hddo,6LuN9FCkKOj5PcnpouEgny
7,1AvXa8xFEXtR3hb4bgihIK,3Nrfpe0tUJi4K4DXYWgMUX
8,49K82qcZN4u109e6Zw8io1,4O15NlyKLIASxsJ0PrXPfz
9,5Dcz8PZHKuvTyjbqEPL5VM,246dkjvS1zLTtiykXe5h60
10,6UYZEYjpN1DYRW0kqFy9ZE,20sxb77xiYeusSH8cVdatc
12,2fYhqwDWXjbpjaIJPEfKFw,66CXWjxzNUsdJxJ2JdwvnR
14,7naY6j4wcgUxfHB98G79CW,1cNDP5yjU5vjeR8qMf4grg
15,4W0r9HOcuCC6Vh7aze2hwi,7gOdHgIoIKoe4i9Tta6qdD
17,7Jx7doYIXITyR2LQB0Hvbc,1vCWHaC5f2uS3yhpwWbIA6
18,1ypNy6o0C2ZbuuPPYkavVl,0YinUQ50QDB7ZxSCLyQ40k
19,1ypNy6o0C2ZbuuPPYkavVl,6oMuImdp5ZcFhWP0ESe6mG
20,1GYVNOzwhx1nMcIJDogSNp,4MCBfE4596Uoi2O4DtmEMz
21,2Qxc2NJ7yPKVFRWi3llRr2,6LuN9FCkKOj5PcnpouEgny
22,09b9NC1oQbYaHcacgXn66k,1cNDP5yjU5vjeR8qMf4grg
23,2yXnY2NiaZk9QiJJittS81,5f7VJjfbwm532GiveGC0ZK
24,2yXnY2NiaZk9QiJJittS81,2hlmm7s2ICUX0LVIhVFlZQ
27,007DWn799UWvfY1wwZeENR,1URnnhqYAYcrqrcwql10ft
29,5YCdlD3eREt72lTZxNL7id,6qqNVTkY8uBg9cP3Jd7DAH
33,0z0z4DcXhHiobX5ZKAw8Qn,2rhFzFmezpnW82MNqEKVry
34,6kouOn7KSqTklk5Mh1vEH2,0HkcYmcjrBR3SCw9Ld5VZk
36,41GuZcammIkupMPKH2OJ6I,0Y5tJX1MQlPlqiwlOH1tJY
38,0zzrCTzvL4ZmR42xF46Afm,26VFTg2z8YR0cCuwLzESi2
41,78EicdHZr5XBWD7llEZ1Jh,64KEffDW9EtZ1y2vBYgq8T
42,78EicdHZr5XBWD7llEZ1Jh,7EQ0qTo7fWT7DPxmxtSYEc
43,1V9oE8bVilClrk5naqyyvL,2wY79sveU1sp5g7SokKOiI
44,1V9oE8bVilClrk5naqyyvL,2cWZOOzeOm4WmBJRnD5R7I
45,6tkjU4Umpo79wwkgPMV3nZ,4MCBfE4596Uoi2O4DtmEMz
46,7dQ734EW0iLvQfF6vBFNiZ,5CiGnKThu5ctn9pBxv7DGa
47,4xVAKfdoqtrlwl9m7REmdL,41MozSoPIsD1dJM0CLPjZF
48,6a2c06GAsKigzV53VyzBXk,0EeQBlQJFiAfJeVN2vT9s0
49,6a2c06GAsKigzV53VyzBXk,757aE44tKEUQEqRuT6GnEB
50,6a2c06GAsKigzV53VyzBXk,6q3p11nP1p80Ey6LrOOSed
51,6NHS3hV16MZyfcp0nSHdrd,64KEffDW9EtZ1y2vBYgq8T
52,6NHS3hV16MZyfcp0nSHdrd,3CjlHNtplJyTf9npxaPl5w
53,6jKZplJpy21R5lHaYHHjmZ,5IH6FPUwQTxPSXurCrcIov
54,0MbXjBEw6FrGtcglqEDHpb,66CXWjxzNUsdJxJ2JdwvnR
55,0MbXjBEw6FrGtcglqEDHpb,63XBtGSEZINSyXylZxEUbv
56,7jV7IRYpTLmTJe7uZXZCZh,4O15NlyKLIASxsJ0PrXPfz
57,2gZmrByp6yiyePHi3dzZ1d,3Fl1V19tmjt57oBdxXKAjJ
