,album_id,album_img,album_link,album_name,album_type,release_date,total_tracks
0,38kpkGLuPr1nNfD3iEyOlJ,https://i.scdn.co/image/2cc54e7570d470966be2def87590dfa84f87076f,https://open.spotify.com/album/38kpkGLuPr1nNfD3iEyOlJ,Old Town Road,single,2019-04-05,2
1,0S0KGZnfBGSIssfF54WSJh,https://i.scdn.co/image/16160e9999e3395dfdef718d2e7cc8432d728920,https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",album,2019-03-29,14
2,63nQw5QNKBUAh4bvqSz3rJ,https://i.scdn.co/image/5493dfef0def29e8dd8a9694cfdd66da1a714339,https://open.spotify.com/album/63nQw5QNKBUAh4bvqSz3rJ,Old Town Road,single,2019-03-14,1
3,35s58BRTGAEWztPo9WqCIs,https://i.scdn.co/image/3aa37254a41cf96e81572524ec523cb870f2bb89,https://open.spotify.com/album/35s58BRTGAEWztPo9WqCIs,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),compilation,2018-12-14,13
4,3XzSOIE6zGLliuqsVGLmUc,https://i.scdn.co/image/e46bc9cfa0f0e17f3869aa67dff235fa57b322f2,https://open.spotify.com/album/3XzSOIE6zGLliuqsVGLmUc,MIDDLE CHILD,single,2019-01-23,1
5,3r5hf3Cj3EMh1C2saQ8jyt,https://i.scdn.co/image/388171ca9cd00260701aa984ba622d3929c6d389,https://open.spotify.com/album/3r5hf3Cj3EMh1C2saQ8jyt,Hoodie SZN,album,2018-12-21,20
6,6KT8x5oqZJl9CcnM66hddo,https://i.scdn.co/image/6c1f62bfe24b3cf4a0f1c61448eada0ae0d16dff,https://open.spotify.com/album/6KT8x5oqZJl9CcnM66hddo,Free Spirit,album,2019-04-05,17
7,1AvXa8xFEXtR3hb4bgihIK,https://i.scdn.co/image/7a5055664f8306a2c87b918b14ba4c5c62301605,https://open.spotify.com/album/1AvXa8xFEXtR3hb4bgihIK,MAP OF THE SOUL : PERSONA,album,2019-04-12,7
8,49K82qcZN4u109e6Zw8io1,https://i.scdn.co/image/0506e7f6ec6e952e5d6576fb41268761b7fc266b,https://open.spotify.com/album/49K82qcZN4u109e6Zw8io1,Sanguine Paradise,single,2019-04-09,1
9,5Dcz8PZHKuvTyjbqEPL5VM,https://i.scdn.co/image/4a09059a2a756967588647bbcb5fd5f6fd8dd434,https://open.spotify.com/album/5Dcz8PZHKuvTyjbqEPL5VM,Wow.,single,2018-12-24,1
10,6UYZEYjpN1DYRW0kqFy9ZE,https://i.scdn.co/image/77eb7c17cafe5503c5866117e0a3e5fc94620101,https://open.spotify.com/album/6UYZEYjpN1DYRW0kqFy9ZE,Championships,album,2018-11-30,19
12,2fYhqwDWXjbpjaIJPEfKFw,https://i.scdn.co/image/4edc7914bfab6ecb0a0faa49e09b33557009c1b0,https://open.spotify.com/album/2fYhqwDWXjbpjaIJPEfKFw,"thank u, next",album,2019-02-08,12
14,7naY6j4wcgUxfHB98G79CW,https://i.scdn.co/image/b2be804a976693136edae3fbd7e52a0d37791f00,https://open.spotify.com/album/7naY6j4wcgUxfHB98G79CW,I AM YOU,album,2018-08-03,15
15,4W0r9HOcuCC6Vh7aze2hwi,https://i.scdn.co/image/092e46597631c4e398fe2c47c97022e9677cb9f0,https://open.spotify.com/album/4W0r9HOcuCC6Vh7aze2hwi,Sucker,single,2019-03-01,1
