,album_id,track_id
0,3XzSOIE6zGLliuqsVGLmUc,2JvzF1RMd7lE3KmFlsyZD8
1,35s58BRTGAEWztPo9WqCIs,3KkXRkHbMCARz0aVfEt68P
2,2fYhqwDWXjbpjaIJPEfKFw,6ocbgoVGwYJhOv1GgI9NsF
3,4W0r9HOcuCC6Vh7aze2hwi,4y3OI86AEP6PQoDE6olYhO
4,7naY6j4wcgUxfHB98G79CW,7eBqSVxrzQZtK2mmgRG6lC
5,5Dcz8PZHKuvTyjbqEPL5VM,6MWtB6iiXyIwun0YzU6DFP
6,6UYZEYjpN1DYRW0kqFy9ZE,2IRZnDFmlqMuOrYOLnZZyc
7,2fYhqwDWXjbpjaIJPEfKFw,4kV4N9D1iKVxx1KLvtTpjS
8,1GYVNOzwhx1nMcIJDogSNp,6Hj9jySrnFppAI0sEMCZpJ
9,2gZmrByp6yiyePHi3dzZ1d,3oh6SCCeLuXhFpEyepla6G
10,3r5hf3Cj3EMh1C2saQ8jyt,1wJRveJZLSb1rjhnUHQiv6
11,007DWn799UWvfY1wwZeENR,2t8yVaLvJ0RenpXUIAC52d
12,1ypNy6o0C2ZbuuPPYkavVl,63cd4JkwGgYJrbOizbfmsp
13,09b9NC1oQbYaHcacgXn66k,6vWEAOUSxohKxhp0K1BsxL
14,2yXnY2NiaZk9QiJJittS81,78QR3Wp35dqAhFEc2qAGjE
15,41GuZcammIkupMPKH2OJ6I,2xLMifQCjDGFmkHkpNLD9h
16,4HVaDjmcLA0joytdCQzobZ,4dTiQezDWmEOWcdCbWVWMp
17,6NHS3hV16MZyfcp0nSHdrd,5icOoE6VgqFKohjWWNp0Ac
18,2fYhqwDWXjbpjaIJPEfKFw,3e9HZxeyfWwjeyPAMmWSSQ
19,1GYVNOzwhx1nMcIJDogSNp,6MjNilJCVKJq0LfFvo5jWJ
20,5n1GSzC1Reao29ScnpLYqp,0FZ4Dmg8jJJAPJnvBIzD9z
21,58kvvQvx6OtLqEDhqYSzyM,0rTV5WefWd1J3OwIheTzxM
22,63nQw5QNKBUAh4bvqSz3rJ,53CJANUxooaqGOtdsBTh7O
23,78EicdHZr5XBWD7llEZ1Jh,2dpaYNEQHiRxtZbfNsse99
24,0zzrCTzvL4ZmR42xF46Afm,5p7ujcrUXASCNwRaWNHR1C
25,5a4sJJ3qjn6hqRsvm0Veso,0PG9fbaaHFHfre2gUVo7AN
26,3r5hf3Cj3EMh1C2saQ8jyt,3Ol2xnObFdKV9pmRD2t9x8
27,15Id9Jrqab8IwHFirdrrLp,1xzBco0xcoJEDXktl7Jxrr
28,0B1vzblCZwbnUF8cv5jGkd,1DUSuNhF8P5vUGNPpQiZa5
29,6tkjU4Umpo79wwkgPMV3nZ,285pBltuF7vW8TeWk8hdRR
30,0l89FgpjfprAbdXegY4Xn3,4txc3txsIt81diMzGhrVPS
31,4sLtOBOzn4s3GDUv3c5oJD,2VxeLyX666F8uXCJ0dZF8B
32,1V9oE8bVilClrk5naqyyvL,6Qs4SXO9dwPj5GKvVOv8Ki
33,0lheRPWdziAtZEiww8TrUO,4NzMOnvSJVNKF7nw5NkXIP
34,1GYVNOzwhx1nMcIJDogSNp,13ZyrkCDmRz5xY3seuAWYk
35,2drqVzCt52KiDxKgl0Rq0P,2GGMabyHXnJmjY6CXhhB2e
36,47FalEKu0of8GExDtZBkxT,4ZT9FnbFu1PaBfV3itxiqT
37,5xqQtdlJUY7Fg4BMp13LrX,2G1tXoGBaEMJ7FKGnkf6ud
38,6kouOn7KSqTklk5Mh1vEH2,05t7JMip6JrLuSrMV5yYjX
39,2Ti79nwTsont5ZHfdxIzAm,3ee8Jmje8o58CHK66QrVC2
40,2Qxc2NJ7yPKVFRWi3llRr2,6zeeWid2sgw4lap2jV61PZ
41,6trNtQUgC8cgbWcqoMYkOR,7dt6x5M1jzdTEt8oCbisTK
42,7dQ734EW0iLvQfF6vBFNiZ,7FGq80cy8juXBCD2nrqdWU
43,1GYVNOzwhx1nMcIJDogSNp,41MCdlvXOl62B7Kv86Bb1v
44,0z0z4DcXhHiobX5ZKAw8Qn,1ThmUihH9dF8EV08ku5AXN
45,1otwHKoQ5KPaiekpYk4tWh,5w9c2J52mkdntKOmRLeM2m
46,13yMsBNa2femeWzhcDOqFw,7COXchtUOMd6uIT6HvmRaI
47,2IUVG5x1G7l0TW1LA61Eyy,1WSGTYKLEpKfNQYYW5Oymt
48,2vVelr6IEfPYJQldabM0IJ,79OEIr4J4FHV0O3KrhaXRb
49,1GYVNOzwhx1nMcIJDogSNp,6eiztdXRkooWsBt2xToMWI
