album_id,album_img,album_name,album_type,release_date,total_tracks
7uYn7ZSrXOVlmITyocZs9F,https://i.scdn.co/image/842c8f1e41d2ceb29dfaa972d7d2caad86dea450,Aquarium,album,1997-01-01,11
4eddbruVtOqw8khwxSH6H2,https://i.scdn.co/image/31ed5458991f5d4da0219c59fa884df1071fab9c,Unapologetic (Deluxe),album,2012-12-11,17
6sGYOY400cCvztdQ4mBSZs,https://i.scdn.co/image/dd1f727c82b7c4efcd0ab680926a86afa312f954,Permanent Revolution,album,2006,11
102J7QdW6oFSUlQcWmJZ3E,https://i.scdn.co/image/be577ad43031a3615d349a38d4fc76fecc346418,Shoffy,album,2017-09-09,12
6PWXKiakqhI17mTYM4y6oY,https://i.scdn.co/image/24753fe5d9ec614b83e1f069c28e3d32449c767b,A Brief Inquiry Into Online Relationships,album,2018-11-30,15
0vwWltI5IYadfWBU1A1gou,https://i.scdn.co/image/d48571f30d152b0939dffcb3a7ee0077f66b4d56,Waves (feat. 6LACK),single,2018-11-15,1
3NCiEtD3QfI3sikmqM7pGE,https://i.scdn.co/image/f9016802ae790b843d2db3d1d24a95a91184044f,Shatterpoint - Single,single,2017-01-16,1
5nO5x1Qgnf7zwmO83qrHRn,https://i.scdn.co/image/a7622b7d8c1f29207d2d4ea930a7a7adae7c5ace,Turn The Radio Off,album,1996,15
3KkJeB2oKzMzASYI5iE7fh,https://i.scdn.co/image/28fe85a628d8393908abb4b09d0ff731c83bdad1,Together Apart,single,2018-08-29,4
29sTacnS0qA9xri6YS8xLA,https://i.scdn.co/image/555e60a4ca0e8dd0197c1bf076fca34a4c921ba4,Superunknown (Deluxe Edition),album,1994-03-09,32
5B4PYA7wNN4WdEXdIJu58a,https://i.scdn.co/image/425e1fef6d70a48a103dfd168a556b7f72f72865,Ten,album,1991-08-27,11
6ggO3YVhyonYuFWUPBRyIv,https://i.scdn.co/image/a750e167490475fb939401995dd58fac4d35bfbf,"Never Mind The Bollocks, Here’s The Sex Pistols",album,1977-10-27,12
5UTevyaJD4gCKn1XUEg0e4,https://i.scdn.co/image/e8048d42acbe97b0146bd7951f1711bffcc42150,DRUP,single,2019-01-11,1
0eoueeJKmQO8W0bFPWr2ky,https://i.scdn.co/image/603cc4c7c0ddeebdf536ffec681f3f601d354c54,Low,single,2018-04-28,1
5F0IQXuHfTV7SBvZVnXERl,https://i.scdn.co/image/e91ab78ffbc3fd649cb769033a4958f0b2c6e93d,The Division Bell,album,1994,11
2H4DCvJiZknLngsD2Yqf6k,https://i.scdn.co/image/93da91acc011ebde87c408df4cb495ce8da874ab,Hands All Over (Deluxe),album,2010,18
3fc97ZWLIMc1xawhxbKrh2,https://i.scdn.co/image/19b263b0ecfd34efd624df40e696f2aaed6d3705,East Atlanta Love Letter,album,2018-09-14,14
74h0cq4lxPj3tig4IDt0VG,https://i.scdn.co/image/ca744dbc2abcd69f9fff7a9120e7ce0f497c53a8,It Won't Stop,single,2013-05-22,1
3QQsh7NGbYK1Igxenqi4MZ,https://i.scdn.co/image/b60a26671235bc20ba98ebd49f2fd5fdd792f18a,Willa Was Here,album,2001-07-17,11
20RMokVwJ2wjQ0s8FOdOFC,https://i.scdn.co/image/b8c18208ed80713b9a3aff54125adecb4590ccae,No Strings Attached,album,2000-03-21,12
7CC3fri661gdruFmdPOP0j,https://i.scdn.co/image/d008557692a3224967a6e56017ec5c3ebb9a186f,Schizophrenic,album,2004,17
7qIuZgsMkRuh7rzi4qVcpg,https://i.scdn.co/image/f494d2550eeb430ddf71c5f1201bedb4693c6ebf,Janet,album,1993-05-18,28
7zBue2Vuzg4Z3ncRXaIkJg,https://i.scdn.co/image/012b205d215b738c1b8d47597d86dfd30975abbb,Celebrity,album,2001-07-24,13
73mGXuipIxIeP7c1sLzanG,https://i.scdn.co/image/8c2339c4d5a1fc13817722a79fe089ba7fc066d8,Distant,single,2017-12-03,1
36NXOLHgsD4nAJqLVo6q04,https://i.scdn.co/image/e8109fccc9807e3ca82edd47d8a6e56469053e0c,Faded,single,2013,6
4CSP4m4qapOcsxw51F6qUH,https://i.scdn.co/image/e099d4518b7c98a1723a6fce57f01faba1fbd5c3,Exile,single,2018-11-08,1
4uvr6hKSHFk0BJ3I2Xgpwx,https://i.scdn.co/image/ce3e5cdada2cd2c2e45657d86bd453516bbe29dd,Whispers (feat. Avonlea),single,2018-06-01,1
5AcqoD2K0dqVAec8dSsluz,https://i.scdn.co/image/ee9376ed46dda57b1af41cf41c7a02fe17ebd14a,The Gloom That Looms,single,2018-09-28,2
2p2h5AjNauwHKc0xplwBmr,https://i.scdn.co/image/e4610421d99975403ce619b8f3870783628f3e22,Palm City,single,2018-10-29,1
1cM3r0WQZWNkCpEbmFjLln,https://i.scdn.co/image/df7cc3041e8f4212420ae9228dbcd70e6c9ecb92,Face Value (Deluxe Editon),album,1981-01-01,24
