track_id,track_name
6ocbgoVGwYJhOv1GgI9NsF,7 rings
4kV4N9D1iKVxx1KLvtTpjS,"break up with your girlfriend, i'm bored"
6MWtB6iiXyIwun0YzU6DFP,Wow.
2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse
3oh6SCCeLuXhFpEyepla6G,Thotiana
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake)
3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next"
2t8yVaLvJ0RenpXUIAC52d,a lot
711MglQhnhOF3UAiAs9A59,Robbery
4SPu0Ql902hTVXkBoNIYtq,NASA
7eBqSVxrzQZtK2mmgRG6lC,Murder On My Mind
4NzMOnvSJVNKF7nw5NkXIP,bury a friend
78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna)
0PG9fbaaHFHfre2gUVo7AN,Please Me
1TEL6MlSSVLSdhOSddidlJ,needy
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE
7EQpvVujgytLVY8vKiDHAg,bad idea
3Ol2xnObFdKV9pmRD2t9x8,Look Back At It
0rTV5WefWd1J3OwIheTzxM,Talk
0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset)
2hloaUoRonYssMuqLCBLTX,bloodline
5p7ujcrUXASCNwRaWNHR1C,Without Me
63cd4JkwGgYJrbOizbfmsp,Pure Water (with Migos)
2dpaYNEQHiRxtZbfNsse99,Happier
1xzBco0xcoJEDXktl7Jxrr,Mo Bamba
3wFLWP0FcIqHK1wb1CPthQ,fake smile
39LmTF9RgyakzSYX8txrow,imagine
6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani)
2MJdgSby3DtSS7bUJx2cly,Red Room
4lD7gHKF1e8Y9stQuVezZB,ghostin
1wJRveJZLSb1rjhnUHQiv6,Swervin (feat. 6ix9ine)
285pBltuF7vW8TeWk8hdRR,Lucid Dreams
2GGMabyHXnJmjY6CXhhB2e,Money
14mHfNsSHN0FbLftyjrV9g,Leave Me Alone
2G1tXoGBaEMJ7FKGnkf6ud,Wake Up in the Sky
7COXchtUOMd6uIT6HvmRaI,i'm so tired...
3ee8Jmje8o58CHK66QrVC2,SAD!
4T652DlATVHe0jdLKaN3Bw,in my head
5wujBwqG7INdStqGd4tRMX,Armed And Dangerous
7dt6x5M1jzdTEt8oCbisTK,Better Now
7FGq80cy8juXBCD2nrqdWU,Eastside (with Halsey & Khalid)
6zeeWid2sgw4lap2jV61PZ,Better
27356GVuMPFWiJSZCragoM,make up
79OEIr4J4FHV0O3KrhaXRb,Splashin
0JP9xo3adEtGSdUEISiszL,Moonlight
0jAfdqv18goRTUxm3ilRjb,Startender (feat. Offset and Tyga)
7e4KQkp5ZR1gXCAalRjX6B,Nights Like This (feat. Ty Dolla $ign)
1rqqCSm0Qe4I9rUvWncaom,High Hopes
4mGdjNMo0RonTlOEb7cYg4,11 Minutes (with Halsey feat. Travis Barker)
